date,paidSub,churned
7/26/10,246372,613
7/27/10,246449,752
7/28/10,246260,1562
7/29/10,246272,1754
7/30/10,246399,1592
7/31/10,246905,1379
8/1/10,248003,756
8/2/10,248610,528
8/3/10,248842,847
8/4/10,248845,1574
8/5/10,249472,1675
8/6/10,249765,1663
8/7/10,250250,1263
8/8/10,251102,760
8/9/10,251619,534
8/10/10,251834,852
8/11/10,251599,1725
8/12/10,251214,1864
8/13/10,251193,1723
8/14/10,251564,1264
8/15/10,252441,705
8/16/10,253126,499
8/17/10,253424,854
8/18/10,253369,1523
8/19/10,253019,1844
8/20/10,253077,1665
8/21/10,253841,1112
8/22/10,254757,730
8/23/10,255468,469
8/24/10,255701,919
8/25/10,255578,1629
8/26/10,255479,1796
8/27/10,255415,1826
8/28/10,255802,1401
8/29/10,256699,767
8/30/10,257297,504
8/31/10,256339,1174
9/1/10,257259,1770
9/2/10,257388,1486
9/3/10,257686,1484
9/4/10,257938,1295
9/5/10,258875,830
9/6/10,259524,515
9/7/10,260112,485
9/8/10,259822,1499
9/9/10,259741,1768
9/10/10,259463,1858
9/11/10,259725,1450
9/12/10,260588,928
9/13/10,261167,585
9/14/10,261216,931
9/15/10,261299,1714
9/16/10,261059,1760
9/17/10,260855,1840
9/18/10,261267,1220
9/19/10,261501,798
9/20/10,262734,517
9/21/10,262887,1009
9/22/10,262803,1824
9/23/10,262629,1783
9/24/10,262739,1704
9/25/10,262855,1450
9/26/10,263763,852
9/27/10,263348,552
9/28/10,264603,905
9/29/10,264316,1781
9/30/10,263914,1876
10/1/10,263752,1810
10/2/10,264298,1248
10/3/10,265141,860
10/4/10,265945,560
10/5/10,266177,956
10/6/10,266082,1810
10/7/10,265814,1877
10/8/10,265534,1880
10/9/10,265982,1303
10/10/10,266919,767
10/11/10,267505,568
10/12/10,267798,910
10/13/10,267557,1686
10/14/10,267257,1861
10/15/10,267325,1718
10/16/10,267954,1013
10/17/10,268212,875
10/18/10,269223,585
10/19/10,269342,1003
10/20/10,268756,1713
10/21/10,268768,1803
10/22/10,268501,1879
10/23/10,268989,1301
10/24/10,269773,828
10/25/10,270299,547
10/26/10,270299,0
10/27/10,270365,2307
10/28/10,270010,1886
10/29/10,269761,1907
10/30/10,270386,1069
10/31/10,271243,805
11/1/10,271951,518
11/2/10,272490,747
11/3/10,272426,1688
11/4/10,272420,1724
11/5/10,271048,1982
11/6/10,272673,1200
11/7/10,273447,891
11/8/10,274014,501
11/9/10,273803,552
11/10/10,273928,1901
11/11/10,273604,1952
11/12/10,273516,1882
11/13/10,273849,1257
11/14/10,274464,997
11/15/10,275005,591
11/16/10,275215,956
11/17/10,274821,1835
11/18/10,274707,1761
